Province,U_R,COICOP,Products,Weights,Date,Index,Source
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2009-05-01,64.65665227074247,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2009-05-01,73.13123822707183,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2009-05-01,89.57085427173021,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2009-05-01,84.98154054004199,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2009-05-01,82.28970879470465,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2009-05-01,92.22428396885479,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2009-05-01,93.83042024678443,All Rwanda
0,0,06,Health,121.09522911844475,2009-05-01,85.99544541627846,All Rwanda
0,0,07,Transport,772.5927231856721,2009-05-01,81.30329172384477,All Rwanda
0,0,08,Communication,238.1321768462081,2009-05-01,108.37158892672605,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2009-05-01,98.30062034081246,All Rwanda
0,0,10,Education,200.9885867838568,2009-05-01,61.17359927493985,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2009-05-01,83.93193627793256,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2009-05-01,88.18847305374929,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2009-06-01,79.90664409169169,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2009-06-01,75.09210740309767,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2009-06-01,90.66120277065616,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2009-06-01,84.6279964087186,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2009-06-01,64.14373737821207,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2009-06-01,69.3567646393726,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2009-06-01,87.8774733741464,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2009-06-01,84.71906763898693,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2009-06-01,81.42074535577939,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2009-06-01,91.40207583101206,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2009-06-01,94.60706745387544,All Rwanda
0,0,06,Health,121.09522911844475,2009-06-01,85.95895507552127,All Rwanda
0,0,07,Transport,772.5927231856721,2009-06-01,81.37521488370972,All Rwanda
0,0,08,Communication,238.1321768462081,2009-06-01,108.77253950569049,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2009-06-01,97.19872699518113,All Rwanda
0,0,10,Education,200.9885867838568,2009-06-01,61.16680420338327,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2009-06-01,84.19874190220227,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2009-06-01,88.46338622041459,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2009-07-01,82.33578599084153,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2009-07-01,78.72787006921035,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2009-07-01,88.04224802080442,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2009-07-01,83.79224396771208,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2009-07-01,64.31787172419473,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2009-07-01,76.84594014074683,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2009-07-01,87.5107977100318,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2009-07-01,84.17320514749044,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2009-07-01,82.14866132250346,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2009-07-01,92.00917007328107,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2009-07-01,94.51171420717768,All Rwanda
